Rank,ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,
2,156,China,Asia,1425671.35,2.18655E+13,1.12183E+13,15336.97,7868.770758
67,100,Bulgaria,Europe,6687.72,97798000000,53239643485,14623.53,7960.806296
179,212,Dominica,North America,73.04,695000000,581484032,9515.33,7961.172399
193,192,Cuba,North America,11194.45,0,89688700000,8011.89,8011.88982
174,308,Grenada,North America,126.18,1275000000,1016208148,10104.37,8053.638833
186,520,Nauru,Oceania,12.78,138000000,103469824,10798.12,8096.23036
148,462,Maldives,Asia,521.02,6109000000,4224207488,11725.06,8107.572623
10,76,Brazil,South America,216422.45,1.98048E+12,1.79593E+12,9151.01,8298.241153
17,484,Mexico,North America,128455.57,1.37973E+12,1.07691E+12,10740.89,8383.555999
14,643,Russia,Europe,144444.36,1.71315E+12,1.24602E+12,11860.3,8626.263129
34,458,Malaysia,Asia,34308.53,4.81988E+11,2.96531E+11,14048.64,8643.082915
47,642,Romania,Europe,19892.81,3.12694E+11,1.86691E+11,15718.94,9384.846922
139,480,Mauritius,Africa,1300.56,12538000000,12216235024,9640.48,9393.057624
199,422,Lebanon,Asia,5353.93,0,50457653265,9424.41,9424.414078
23,792,Turkey,Europe,85816.2,7.14305E+11,8.63712E+11,8323.66,10064.66973
89,862,Venezuela,South America,28838.5,49823000000,2.91376E+11,1727.66,10103.73068
84,188,Costa Rica,North America,5212.17,68180000000,57435510668,13080.92,11019.50064
22,616,Poland,Europe,41026.07,7.55645E+11,4.71402E+11,18418.66,11490.3101
27,32,Argentina,South America,45773.88,5.73633E+11,5.45866E+11,12531.88,11925.27626
76,591,Panama,North America,4468.09,76549000000,55187800000,17132.39,12351.54171
55,348,Hungary,Europe,10156.24,2.19463E+11,1.25817E+11,21608.69,12388.11218
44,152,Chile,South America,19629.59,3.51036E+11,2.47046E+11,17883,12585.37394
78,191,Croatia,Europe,4008.62,75827000000,51231002611,18916,12780.2093
168,690,Seychelles,Africa,107.66,1804000000,1433826317,16756.46,13318.09694
66,512,Oman,Asia,4644.38,1.1025E+11,63170959402,23738.35,13601.59147
202,500,Montserrat,North America,4.39,0,62051375,14147.6,14134.70957
96,428,Latvia,Europe,1830.21,43128000000,27572698482,23564.5,15065.31954
85,858,Uruguay,South America,3423.11,66988000000,52419718459,19569.35,15313.47764
172,28,Antigua and Barbuda,North America,94.3,1768000000,1460157909,18749.07,15484.17719
60,703,Slovakia,Europe,5795.2,1.31046E+11,89768598023,22612.86,15490.16393
110,780,Trinidad and Tobago,North America,1534.94,25030000000,24086176564,16306.86,15691.9336
77,440,Lithuania,Europe,2718.35,75992000000,42773029835,27955.17,15734.9237
105,196,Cyprus,Europe,1260.14,30137000000,20046234311,23915.63,15907.94222
149,52,Barbados,North America,282,5926000000,4552793288,21014.56,16144.65705
203,531,Curacao,North America,192.08,0,3121449966,16251.03,16250.78075
192,184,Cook Islands,Oceania,17.04,0,290194195,17026.18,17030.17576
